観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2018年9月21日1時,1.6,14,1,12,0.2,0,1.4,1,0.7,15,4.1,5,0.2,0,0.7,12,1.4,8,0.3,10,0.2,0,1.9,2,1.4,16,1.9,14,1,15,0.3,1,2.2,1,0.8,15,3.3,3,0.3,16,0.8,3,1.3,7
2018年9月21日2時,0,0,0.9,11,1.1,7,2,16,0.9,15,1.8,5,1.4,3,0.4,10,1.5,7,0.9,7,0.3,8,1.2,1,1.7,16,0.6,10,0.4,16,0.9,3,1.7,2,1.5,15,2.9,3,2,7,0.2,0,0.2,0
2018年9月21日3時,1.1,12,1.2,12,0.1,0,1.4,16,0.6,16,1,5,0.4,6,0.7,16,2.5,8,0.7,3,0.1,0,1.1,1,2,16,0.2,0,0.7,15,0.6,2,1.7,1,1.6,15,3.5,3,0.9,10,0.6,2,0.6,9
2018年9月21日4時,1.3,13,1,4,0.2,0,1.6,1,1.5,15,2.5,6,0.6,5,0.2,0,2.1,7,1.1,6,0,0,1.1,2,1.5,16,0.6,11,0.9,16,0.5,16,1.4,1,1.4,15,2.4,3,1.5,9,0.2,0,0.1,0
2018年9月21日5時,1.6,14,0.1,0,0,0,1.4,1,2,16,0.7,8,0.1,0,0.9,1,2.2,7,0.9,6,0.1,0,1.4,3,1.5,16,0.7,12,0.9,15,0.5,3,1.3,1,0,0,1.6,3,1.6,9,0.4,2,1,7
2018年9月21日6時,1.8,13,0.1,0,0.1,0,1.2,1,1.1,1,0.1,0,0.2,0,1,3,2.5,6,0.4,6,0.2,0,1,1,1.2,16,0.1,0,0.9,16,0.1,0,1,1,0.2,0,1.5,3,0.1,0,0.4,1,0.9,12
2018年9月21日7時,1.5,14,0.5,1,0,0,2,1,0.8,15,1.3,8,0.3,5,0.4,14,2.1,7,0.6,6,0.1,0,1.1,1,0.9,2,0.4,14,0.2,0,0,0,1.5,1,1.3,15,2.7,2,0.3,12,1.2,1,0.7,8
2018年9月21日8時,0.9,13,0.3,3,0.4,13,1.3,16,0.9,16,0.5,8,0,0,0,0,2.3,7,0.9,6,1,5,1.2,16,0.6,1,1.2,14,0.4,15,0.3,1,1,2,0.7,4,2.4,3,2.3,9,0.9,2,1.1,5
2018年9月21日9時,0.2,0,1.6,12,0.2,0,1.9,1,0.6,15,1.5,7,0,0,0.3,16,0.2,0,1.3,6,0.6,5,0.5,8,0.2,0,0,0,0.1,0,0.2,0,1.1,2,0.6,3,2.4,3,2.9,7,0.9,15,1.7,7
2018年9月21日10時,2,5,2.8,11,1.1,7,1.8,16,1,15,1.4,11,0.3,14,0.6,2,1.1,7,1.5,6,1.1,6,1.7,9,0.3,9,0,0,0.4,15,0.1,0,1.3,3,3.3,5,2,2,2,7,1.1,3,2.1,7
2018年9月21日11時,3.2,6,2.1,12,2.6,5,1.9,1,0.6,15,0.9,6,0.9,16,1.5,5,2.5,14,0.8,8,0.5,14,1.7,8,1.5,8,1.2,7,0.1,0,0,0,1.3,4,3,5,2.2,2,2.8,7,0.7,11,3.5,6
2018年9月21日12時,2.1,7,2.7,13,3.3,5,1.4,2,0.8,2,1,1,1.8,15,1.4,5,1.7,1,1,9,1.1,16,1.9,8,0.5,4,1.2,6,0,0,0.2,0,1.7,6,3.9,5,3.3,1,1.4,7,1.6,9,3.6,7
2018年9月21日13時,3.8,7,2.9,12,2,5,1.2,2,0.5,16,1.3,8,2.4,10,3.6,7,3.1,16,2.6,8,3.3,10,2.3,9,2.1,7,0.6,13,0.6,8,0.3,10,1.7,6,3.2,5,2.7,2,2.4,7,1.6,7,2.6,6
2018年9月21日14時,2.6,8,2.1,13,2.1,6,0.7,2,1,16,1.7,8,3.1,10,4.4,7,2.9,16,4.4,9,3.2,10,2.5,9,2.4,8,1.6,6,1,7,0.3,8,2,6,2.8,5,4.2,2,1.9,8,2,7,2.2,7
2018年9月21日15時,2.3,8,3.4,10,2.4,5,1.5,2,1.1,1,1.4,6,1.5,10,1.6,10,1.6,14,4.4,8,3.8,10,2.4,8,1.5,8,1.8,12,0.8,7,0,0,0.4,2,1.1,7,3.4,2,2,8,2.4,6,2.9,7
2018年9月21日16時,2.6,8,3.5,11,2,5,2.3,2,0.8,14,1.6,8,1.6,11,3,7,1.7,14,4.6,8,4,9,1.9,8,0.7,5,1.9,9,0,0,0.7,15,1.2,1,3,5,2,3,1.5,7,1.8,6,1.3,8
2018年9月21日17時,3.1,8,3.3,11,1.7,5,1.8,1,1,13,1.3,5,0.4,14,1.7,5,0.6,7,4.3,8,1.2,7,1.7,8,0.3,4,0,0,0,0,0.3,1,1,3,2.1,5,4,7,1.3,8,2.8,6,2.7,7
2018年9月21日18時,2.5,7,4,11,0.8,12,1.9,16,2.4,3,1.4,6,2,2,1.9,6,1.2,7,4,8,1.6,6,1.4,8,0.3,5,1.7,6,0,0,0.2,0,1.6,3,2,5,8.2,7,1.3,10,4.8,6,2.9,6
2018年9月21日19時,0.9,8,4.3,12,1,2,2.2,16,1.2,14,2,8,1.4,12,0.4,5,0.4,8,2.1,7,1.6,6,2.2,8,0.8,3,0.8,7,0.4,16,0.5,15,2,3,3,5,9.1,7,2.1,9,4.5,7,3.8,6
2018年9月21日20時,1.9,7,4.5,11,0.4,10,1.6,16,1.4,14,2.1,7,0.8,11,2,5,2.2,9,2.3,6,3.7,8,2.9,9,1,7,0.3,14,0.2,0,0,0,1.6,4,2.3,5,8,8,1.3,9,4.1,6,3.6,6
2018年9月21日21時,2.5,8,1.9,13,0.4,14,1.9,1,0.4,11,2.9,7,2.3,11,0.2,0,0.3,1,2.5,8,2.5,8,2.8,8,1.6,6,1,7,0.1,0,0.4,16,2.4,6,3.1,5,11.1,7,1.8,7,4.9,6,3.9,6
2018年9月21日22時,1.8,8,4.4,12,0.1,0,0.6,10,0.9,14,2.4,7,1.3,12,0.3,12,3.1,7,2.6,8,3.3,8,1.9,9,1.3,6,1.7,5,0.1,0,0,0,5.1,8,3.3,5,11.2,7,1.8,7,4.2,6,4.1,6
2018年9月21日23時,1.8,8,4.1,12,1,11,0.4,13,0.2,0,2.5,6,1.5,12,1.5,6,2,6,2.6,8,2.9,9,2.7,9,1.4,7,2.2,7,0.8,7,0,0,2.1,8,1.1,6,8.7,7,0.7,10,3.7,6,3.1,5
2018年9月21日24時,1.3,8,3.6,12,1.3,12,0.6,13,0.2,0,1.5,7,1.6,11,0.7,15,0.7,13,2.4,8,1.6,3,2.8,8,1.6,7,2.9,7,1.1,8,0.1,0,2.8,8,2.8,5,11.1,7,1.2,6,2.2,5,3.4,6
2018年9月22日1時,1.8,8,3.9,12,0.9,12,0.9,2,0,0,1.6,7,0.8,6,0.2,0,0.8,7,0.4,11,1.6,4,2.8,8,1.9,6,2.4,7,1.1,7,0.1,0,4.5,10,3.4,8,10,7,1.8,10,2.3,6,3.3,5
2018年9月22日2時,1.9,9,2.6,12,0.3,11,0.7,16,0.1,0,1.4,9,0.7,10,0.6,2,1.5,2,1.1,13,0.6,10,1.7,9,1.9,6,0.8,5,1.3,8,0.6,9,1.6,9,3,9,1.4,16,1.6,12,1.2,2,0.6,9
2018年9月22日3時,2.3,14,1.9,10,0.2,0,1.5,3,0.3,5,7.3,13,0.1,0,0.9,2,1.6,16,3.7,14,0.3,14,1.8,9,1.6,6,1.3,9,1.3,7,0.1,0,2.1,11,1.3,11,1.5,9,2,15,0.5,1,1.4,6
2018年9月22日4時,3.7,13,1.2,11,1.3,4,0.4,13,0,0,6.4,14,0.5,6,0.5,15,2.4,15,3.2,14,1.2,14,1.3,9,1.3,5,1.5,8,0.9,7,1.4,10,3.8,12,1.9,10,2.7,10,1.8,15,0.5,16,0.2,0
2018年9月22日5時,3.5,12,2.4,12,0.7,10,0,0,0.3,5,6.3,14,1,2,1.3,13,2.1,15,2,15,3.1,16,0.1,0,1.5,15,1.5,4,0.4,7,0,0,2.5,12,2.3,10,3.6,10,2.4,15,0.1,0,0.9,9
2018年9月22日6時,4.6,12,2.2,14,1,9,0.3,3,1,5,6.8,14,1.9,1,2.8,13,1.6,14,1.5,14,1.1,16,1.9,3,1.3,16,2.2,16,0.3,6,0.4,12,3.8,13,2.5,11,5.4,10,3.2,16,4,13,2.7,13
2018年9月22日7時,3.5,13,1.6,15,3,13,0.5,10,0.1,0,6.6,13,1.8,4,1.8,14,1.4,15,2,14,1.8,16,1.9,3,1.6,16,2,16,0.6,4,0.6,15,2.8,13,5.4,15,4.7,11,3.1,16,5.2,12,3.8,13
2018年9月22日8時,3.2,13,3.1,15,1.6,13,1,13,2.3,13,7.2,14,0.1,0,0.9,13,2.2,15,1.5,13,2.9,15,1.5,2,1.5,1,1.5,15,1.2,16,0.6,2,3,14,2.6,14,5.6,12,3,16,2.1,14,4.2,13
2018年9月22日9時,1.1,14,2.6,15,0.9,13,2.4,15,1.8,15,4.8,14,1.2,7,1.9,15,2.7,16,1.4,14,1.7,15,1.7,3,1.2,16,1.9,16,1.4,15,1.5,1,3.3,14,3.3,15,3.2,12,2.6,15,4.9,13,3.9,13
2018年9月22日10時,2,14,3.3,16,1.1,14,2.4,14,1.3,13,4.5,15,0.1,0,1.6,14,2.9,16,0.7,14,0.8,5,0.9,2,1.5,15,3.2,15,2,15,1.1,1,3.6,15,3.9,15,5.4,13,1.8,16,6.1,13,2.8,13
2018年9月22日11時,1.8,14,2.9,15,3.5,14,3.1,15,2,15,4,15,3.7,2,2.5,15,3.1,16,2.2,15,1.9,14,0.9,1,0.8,16,2.5,13,2.6,16,1.6,16,3.9,14,3.4,15,4.7,13,1.5,16,5.4,13,2.4,16
2018年9月22日12時,1.8,14,1.3,14,3.3,13,4.4,14,1.3,16,3.4,15,2.1,2,1.2,11,1.5,14,2.6,14,1.8,15,1.5,16,1.2,16,3.1,14,1.6,16,1.2,16,2.7,15,5,15,2.4,15,2,16,4.1,13,1.6,16
2018年9月22日13時,2.3,15,5.1,1,3.2,13,3.8,15,2.4,15,2.7,14,2.6,2,0.7,10,2.9,16,2.6,15,1.9,14,2.2,16,1.4,15,1.7,16,1.9,16,0.9,16,1.1,4,3.2,1,2.9,1,2.6,15,1.5,14,1.2,14
2018年9月22日14時,2.9,14,3.9,1,2.4,15,4.2,15,2.1,15,3,13,3.1,1,2.6,15,2.8,16,2.5,16,2.2,15,0.8,2,0.5,1,4.1,14,1.5,16,1.2,6,3.2,7,4.6,15,2.8,16,2,1,1.6,14,2.1,14
2018年9月22日15時,3.3,13,4,1,2.7,14,4.1,15,0.9,14,2.5,13,2.8,1,2.7,16,3,16,2.9,16,2.6,15,1.7,1,0.6,1,2.5,16,1.7,16,0.5,14,1.2,10,3,15,2.6,15,1.3,1,1.7,14,2.1,15
2018年9月22日16時,2.9,13,3.6,1,2.4,13,3.5,15,2.4,14,2.3,14,2.7,1,2.6,16,2.1,16,2.6,14,2.3,15,1.9,16,0.5,1,3.2,16,0.5,16,1.2,2,1.3,10,4,15,3.4,14,1.1,2,2.2,14,1.4,13
2018年9月22日17時,2.1,13,3.1,16,1.6,14,4,15,2,14,2,14,1.8,1,2.5,15,1.7,16,1.9,15,2.2,15,1,1,0.8,16,3,15,1.3,15,0.9,15,1.4,10,3.3,16,2.8,14,1,2,1.5,15,1.2,12
2018年9月22日18時,1.3,14,1.5,11,2.4,14,2.9,15,1.2,15,2.7,14,0.8,4,2.3,15,0.8,7,2,16,2.1,15,0.5,16,1.3,1,1.5,16,0.3,3,1.4,3,1.2,13,2.3,1,1.6,8,1,1,0,0,0.7,7
2018年9月22日19時,0.7,12,0.5,12,1.3,14,3,15,1.3,15,1.8,14,1,4,0.9,16,1.1,8,1.4,16,0.2,0,1.2,1,0.5,6,1.5,1,0.7,16,0.4,16,1.6,16,0.1,0,1.8,8,0.6,14,1.3,3,0.9,7
2018年9月22日20時,1.1,12,0.5,11,1.4,12,2.1,16,1,14,1.4,15,0.1,0,0.6,14,1.6,8,0.4,14,0,0,0.8,2,1.2,16,0.7,12,0.2,0,0.9,2,1.5,16,0.2,0,2.2,8,0.4,13,1.1,3,0.9,6
2018年9月22日21時,1,12,0,0,1.4,13,1.7,14,0.1,0,1.3,5,0,0,0.9,16,1.7,6,1.1,6,0.9,15,0.8,3,1.2,16,0.5,13,0.3,1,0.2,0,2.8,3,0,0,1.9,8,0.6,12,1.2,2,0.5,8
2018年9月22日22時,2.3,13,1.4,5,1.4,13,1.6,1,1.1,6,1.1,5,0,0,0.3,14,3.1,7,0.6,5,1,2,1,3,1,1,0.2,0,0.6,1,0.4,16,1.9,3,1,5,0.5,1,0.3,12,1,2,1.4,7
2018年9月22日23時,2.3,13,0.2,0,1,14,1.7,1,0.8,8,0.7,6,0.1,0,0.2,0,2.8,6,0.7,8,0.8,2,0.8,3,1.4,1,1.1,5,0.6,2,0.3,15,1.3,1,0.4,4,1.3,3,0.7,12,0.5,12,1.2,7
2018年9月22日24時,2,13,0.4,2,0.6,15,1.6,1,0.4,7,0.8,16,0.5,2,0.5,14,1.2,9,1.4,8,0.4,1,1.3,2,1.6,16,0.4,6,0.2,0,0.8,14,1.6,1,0.9,5,2,4,0.4,12,1.4,1,0.9,7
2018年9月23日1時,2.1,13,1.1,11,0.4,5,1.6,15,1.1,6,1.2,6,1.4,2,0.3,15,1.5,5,0.9,8,1,14,1.2,4,1.2,2,0.1,0,0.7,16,0.7,15,1.9,1,0,0,1.6,2,0.9,11,1.2,1,0.8,5
2018年9月23日2時,1.4,12,0.6,6,0.4,9,1.5,1,1.4,7,0.2,0,0.1,0,0.2,0,1,6,0.9,8,1.2,15,1.4,4,0.5,4,1.1,15,0.6,16,0.3,14,1.2,1,0,0,2.3,3,0.6,11,0.3,2,0.5,7
2018年9月23日3時,1.4,12,1,12,0.1,0,1.8,4,0.5,6,0.3,7,0.1,0,0.7,16,1.7,7,0.6,7,1.7,9,1.3,4,0.8,2,0.7,15,0.4,1,0.1,0,0.7,1,0.5,5,1.9,3,0.9,13,0.7,2,0.8,4
2018年9月23日4時,1.2,12,0.8,12,0,0,1.4,16,1.6,6,0.5,9,0.7,11,0.5,12,1.3,6,1.1,8,2.8,9,1.7,4,0.4,1,0.6,15,0.8,1,0.1,0,0.5,2,0,0,1.8,3,0.8,11,1.2,4,1.5,7
2018年9月23日5時,1.4,12,1.2,11,1.5,11,0.3,2,0.8,6,0.5,9,0,0,0.4,6,0.9,12,0.7,8,1.5,7,0.7,3,1.1,1,0.4,15,0.6,16,0.1,0,1.1,16,0,0,0.2,0,0.8,11,1,3,0.7,11
2018年9月23日6時,1.6,12,1.6,8,1.6,12,1.3,4,1,5,2.4,7,1,1,1.1,6,1.9,5,0.8,9,2,10,1.1,4,1.5,1,0.6,15,0.7,16,0.7,15,1,2,0.4,14,0.8,5,0.8,11,0.8,3,0.6,7
2018年9月23日7時,1.5,13,0.9,9,1.8,12,0.5,10,0.8,5,2,7,0.4,1,1,7,1.8,8,0.7,7,1.6,8,1.1,3,0.2,0,0.2,0,0.5,3,0.4,1,0.7,1,0.1,0,0.9,16,0.5,7,1.2,3,0.6,7
2018年9月23日8時,2.1,7,1.8,9,0.5,7,0.6,5,1.4,4,1.1,9,0.2,0,0.6,12,1.9,5,1.6,6,1.3,7,1.1,4,0.4,5,0.5,12,0.5,16,0.1,0,1.4,1,0.6,14,1.5,3,1.3,3,0.2,0,0.3,4
2018年9月23日9時,1.7,5,0.9,13,0.8,4,0.9,6,0.9,4,1.3,12,0.4,6,0.7,3,1.7,8,1,7,0.3,3,0.7,4,0.5,7,1.2,15,0.3,6,0.3,8,0.9,2,0.4,7,2.7,3,1.7,4,0.6,2,1.5,15
2018年9月23日10時,0.8,2,1.6,3,0.3,4,1.6,11,0.7,16,1.5,14,0.8,11,1.4,3,0.8,2,1.2,6,0.7,16,0.8,11,0.7,6,0.4,16,0.4,12,0.8,7,0.7,2,1,14,2.1,4,1.6,4,1.4,1,2.2,15
2018年9月23日11時,1.8,4,0.8,16,0.6,8,1.3,6,0.6,1,1.7,16,0.9,11,0.6,5,1.9,1,1.5,6,0.5,16,1.1,8,3.1,7,1.6,12,0.5,9,0.9,9,0.9,1,1.2,14,2.7,2,1,5,1.3,1,1.5,15
2018年9月23日12時,2.1,4,1.6,16,1.9,13,2.4,12,1.8,16,1.8,16,0.9,3,1.2,4,2.5,16,1.2,7,1.4,4,1.2,8,1.7,7,0.7,6,0.2,0,1.3,9,0.3,9,0.5,9,2.3,3,1.6,6,3.4,13,2,14
2018年9月23日13時,2.1,4,0.2,0,0.2,0,3,12,1.3,14,2.2,1,1.5,13,1.3,5,3,16,1.4,6,1.6,6,1.9,9,1.5,9,1.7,3,0.8,8,0.7,8,0.8,7,0.7,10,2.2,4,1.4,9,1.3,2,1.6,15
2018年9月23日14時,1.5,1,1.4,9,0.6,15,2,12,0.9,16,2.3,1,1.2,14,1.3,5,1.8,15,2.6,16,1.3,2,2.1,8,1.3,7,1.7,7,0.5,8,2,9,0.7,9,1.4,12,1.3,4,1.3,9,1.4,2,1.4,15
2018年9月23日15時,0.9,3,1.6,10,0.5,14,2.1,12,1.5,15,0.8,16,1.4,13,0.6,7,2.1,15,2.4,2,1.4,5,1.4,7,0.8,6,1.5,11,0.5,8,1.2,10,1.7,14,2.7,13,1.9,4,1.1,10,1,1,2.2,15
2018年9月23日16時,0.8,15,2.3,10,1,2,2.1,13,1.5,15,1.7,14,0.9,3,1.9,16,1.6,15,2.3,15,1,14,0.4,10,0.5,5,0.4,9,0.6,16,1.5,13,1.5,15,2.2,12,3.6,13,0.4,10,1,16,2.2,15
2018年9月23日17時,1,13,0.8,13,1.1,13,2.4,13,0.9,14,1.6,14,1.2,3,1.7,15,1.2,7,0.9,1,1.1,14,0.4,11,1.1,1,0.7,9,0.3,1,1.4,14,0.9,13,2.4,11,2.9,12,0.8,10,0.8,2,2.4,15
2018年9月23日18時,1.1,13,1.2,10,0.9,12,1.2,13,1.6,15,1.5,7,1.1,3,1.3,3,0.6,9,1.2,3,0.9,9,0.5,8,0.4,3,1,5,1,4,1.2,14,0.8,13,1.2,11,2.1,9,1.7,9,1,16,0.6,4
2018年9月23日19時,1.5,13,0.9,15,0.3,13,1.4,2,1.4,6,1.7,5,0.8,4,1,15,1.7,7,1.3,1,1,7,1,7,0.3,10,1.4,6,1.1,2,0.1,0,1,10,1.5,4,2.3,8,1.2,11,0.6,1,0.8,6
2018年9月23日20時,0.3,11,0.5,11,1.2,11,2,2,0.8,6,1.8,9,0.9,4,0.8,15,2.3,5,0.8,1,0.5,13,1,6,0.6,4,0.1,0,0.3,15,0.2,0,1.3,12,0,0,1,7,0.4,13,0.9,2,1,7
2018年9月23日21時,0.6,11,1.7,10,0.1,0,1.8,14,0.8,6,1.9,7,0.2,0,0.9,1,1.8,8,1.6,7,2.2,8,0.8,6,0.4,1,0.9,7,0.1,0,0.4,14,1.1,14,0.1,0,1.6,8,2,10,2,3,0.3,7
2018年9月23日22時,1.2,12,1.8,12,1.5,12,1,16,0.6,6,1.8,9,0.2,0,0.5,15,2.9,6,1.7,5,1.2,8,1,7,0.7,2,1.2,9,0.3,10,0.4,16,0.6,2,0.4,2,1.5,7,0.9,11,1.9,3,1.6,7
2018年9月23日23時,0.8,12,1.7,9,1.8,13,0.8,3,0.6,9,3,6,1,11,0.7,1,1.3,5,1.6,7,2.1,8,1.1,6,0.4,2,0.8,6,0.4,6,0.1,0,1,1,1,16,0.8,4,1.1,11,1.2,3,1,7
2018年9月23日24時,1.1,12,1.7,11,0.7,15,1.1,13,1,5,1.4,9,0.6,1,0.3,14,2.4,5,0.7,10,2.3,8,1.2,9,0.5,1,0.6,12,0.1,0,0.1,0,1.1,1,0.2,0,1.5,12,0.7,14,0.4,1,1.1,6
2018年9月24日1時,2.5,12,0.4,13,1,13,1.4,1,0.5,2,0.8,16,0.3,3,0.7,1,2.8,7,1,7,2.2,8,1.6,7,0.8,16,0.1,0,0.2,0,0.4,16,1.1,1,0,0,1,6,0.8,11,0.3,3,1.4,7
2018年9月24日2時,1.2,13,2.4,11,1,12,1.9,2,0.6,10,1.1,9,1.2,3,0.7,4,1.7,7,1,5,1.8,7,0.8,7,0.5,16,0.8,13,0.4,1,0.1,0,1.3,16,0.3,2,1.3,12,0.8,11,0.8,2,1,6
2018年9月24日3時,1.1,13,3.2,10,1,13,1.2,13,1.3,7,0.3,12,0.7,3,1,12,3.2,5,0.8,9,1.2,7,0.7,9,0.4,3,0.1,0,0.2,0,0.7,15,1.3,2,0,0,1.4,6,0.7,10,1.9,4,0.9,7
2018年9月24日4時,2.2,13,0.8,3,1.4,11,1,15,0.6,6,0.6,12,0.4,4,0.7,9,2,6,1.1,7,1.5,8,0.7,9,0.6,2,0.3,11,0.3,16,0.1,0,1.5,2,0.8,14,1.2,13,1,10,0.4,2,1.4,6
2018年9月24日5時,1.9,13,3,10,1.9,12,1,1,1.2,4,1.4,7,0.5,3,1.2,12,1.8,5,0.7,2,1,7,1.5,10,1.2,5,0.5,15,0.2,0,0,0,0.6,2,0,0,1.2,10,1,13,0.9,3,1.4,7
2018年9月24日6時,2.7,13,1.1,15,0.9,11,0.8,1,1.4,7,0.7,11,0.9,4,1.1,12,3.9,6,0.8,14,0.7,7,0.9,9,0.2,0,1.6,13,0,0,0.2,0,1,4,0.2,0,1.8,14,0.8,13,1,3,1.3,6
2018年9月24日7時,1.7,13,3.5,11,1.1,11,0.9,15,1.8,5,0.8,9,1.1,1,0.6,4,3,6,1,6,0.9,12,0.8,9,0.9,1,0.3,10,0.3,8,0.2,0,0.5,2,1,15,1.2,11,0.9,12,0.3,4,1.2,7
2018年9月24日8時,1.8,13,0.6,7,0.3,7,0.4,15,2,4,0.8,9,1.2,4,0.7,1,2.8,5,0.6,8,0.5,10,0.7,4,0.8,16,0.7,13,0.3,1,1.1,14,0.9,1,0,0,1,2,0.8,15,0.9,16,1.1,6
2018年9月24日9時,1,14,0.7,15,0.3,13,0.8,8,1.6,3,1.8,7,0.1,0,1.1,1,2,7,2,7,0.5,12,0.9,2,0.4,16,0.3,13,0.4,13,1,15,1,2,0.3,2,0.5,16,0.5,11,0.5,2,1.5,14
2018年9月24日10時,1.5,13,1.6,12,0.1,0,1.3,8,0.7,1,1.3,8,0.1,0,1,15,2.5,7,0.8,13,0.9,10,0.7,5,0.7,1,0.5,12,0.4,15,0.9,14,0.4,14,0.4,6,1.9,14,0.2,0,1.5,15,1.3,14
2018年9月24日11時,1.1,13,1.3,12,0.4,12,0.7,13,0.7,15,0.7,9,0.7,12,1.1,16,2.9,6,1,6,1,4,0.6,9,0.7,16,1,13,0.3,15,0.6,15,1,15,1.7,11,2.6,14,0.8,14,0.7,1,1.6,13
2018年9月24日12時,0.7,16,2.4,12,1.3,13,2.8,12,0.4,16,1.2,8,0.4,5,1.1,16,1.6,7,1.4,6,0,0,0.9,9,0.4,16,1.2,13,0.4,16,1.2,15,0.3,10,1.8,12,2.5,14,0.1,0,1.6,15,2,14
2018年9月24日13時,0.8,13,0.6,14,1.2,13,2.8,12,1,1,1,9,0.9,13,0.6,4,1.7,7,1.2,12,0.4,5,0.1,0,1,1,0.2,0,0.6,15,0.6,15,0.8,1,1.1,14,2.5,15,0.2,0,1.7,15,1.9,15
2018年9月24日14時,1.4,14,0.8,3,1,11,2.4,2,1.5,16,1.9,11,0.8,1,1,16,1.2,10,0.9,11,1.5,16,1.6,1,0.3,2,0.3,8,0.1,0,0.3,15,0.3,8,0.3,7,3.4,13,1.2,1,1.8,14,2.2,15
2018年9月24日15時,0.7,13,1.3,16,1.8,13,1.7,13,0.8,15,2.2,12,0.8,16,1.2,1,0.9,8,1.1,8,0.1,0,2,1,0.5,2,0.7,14,0.2,0,0.3,15,0.5,10,1.6,2,2.1,12,1.2,1,1.4,15,0.8,14
2018年9月24日16時,0.7,13,0.6,9,2.4,12,2.4,14,0.6,6,1.2,9,2,3,1.6,16,0.6,7,0.7,10,0.3,14,0.4,16,0.4,3,0.9,14,1,16,0.4,14,2,14,1.2,16,3.9,12,0.4,2,0.8,16,2.5,14
2018年9月24日17時,1.4,13,0.5,16,1.9,12,1.5,14,1.7,15,0.9,7,0.5,1,1.1,15,0.4,9,0.6,3,0.4,15,0.6,16,0.1,0,1.1,14,0.5,16,0.6,1,1.5,14,2.2,15,2.1,12,0.3,16,1.2,1,2,15
2018年9月24日18時,1,12,0.5,14,1.2,13,1.8,1,1.5,15,3.5,15,1.5,2,1.4,1,1.4,8,0.9,15,0.7,1,1.3,16,0.3,3,0.6,10,0.4,1,0.1,0,1.7,15,1,4,2.5,10,0.6,1,0.8,16,1,16
2018年9月24日19時,1.2,12,1.2,11,1.8,13,2,15,0.9,15,1.6,15,1,3,0.7,16,1.1,9,0.4,3,1.1,8,0.7,16,0.5,1,0.8,10,0.4,14,0.4,15,1.7,15,0,0,2.6,10,0.5,12,1.3,16,2.9,14
2018年9月24日20時,1.1,13,1,4,0.8,14,2.4,14,0.2,0,2.8,16,0.2,0,1.1,13,1.8,9,0.5,7,0.6,7,0.7,14,1.1,1,0.7,6,0.4,16,0.4,15,1.3,16,0,0,1.8,10,1.4,13,1.4,1,2.2,15
2018年9月24日21時,1.4,12,0.9,11,0.1,0,1.3,16,1,16,2.5,1,0.6,7,0.9,1,1.3,8,0.3,7,0.1,0,1.3,1,0.3,3,0.3,10,0.7,1,0.1,0,0.9,16,0,0,1.3,10,1,12,1,2,0,0
2018年9月24日22時,0.7,12,0.4,11,1.3,11,0.5,15,0.1,0,1.4,5,0.1,0,0.6,1,2.3,7,0.8,9,0.4,7,0.7,16,1,1,0.8,6,0.6,1,0.4,16,1.5,15,0.5,14,1.5,8,0.4,11,0.4,1,1.8,15
2018年9月24日23時,2.1,14,0.6,11,1.2,13,0.6,13,1,6,1.8,6,0.4,2,0.5,14,1.5,6,0.2,0,0.1,0,1.3,1,0.8,1,0.2,0,1.2,16,0.9,15,0.7,15,1.5,5,2.6,10,0.4,10,0.3,15,1.9,15
2018年9月24日24時,1.4,14,0.9,7,1.6,10,1.1,8,0.2,0,1,5,0.6,11,0.9,6,1.8,6,1.1,9,1.2,7,0.2,0,1.3,16,1,5,0.8,16,0.6,14,1.6,14,1.5,3,2.3,9,0.3,14,0.9,16,2.3,16
2018年9月25日1時,2,14,0.7,13,1.8,13,0.8,15,0.6,5,0.4,5,0.2,0,0.8,11,2.3,7,0.6,3,1.1,7,1.3,16,0.8,1,0.4,10,0.9,16,1.2,15,2.4,14,0.8,14,3.1,12,1,8,1,16,3.1,15
2018年9月25日2時,1.3,13,1.8,11,0.7,13,1.4,15,1,5,2.4,5,1.3,12,0.6,13,0.7,16,0.5,6,1,8,0.9,16,1.6,16,0.1,0,0.3,16,0,0,1.8,15,1,3,1.2,12,0.6,10,1.1,15,3.8,15
2018年9月25日3時,1.1,12,1,9,0,0,1.8,15,0.3,5,3.5,4,0,0,0.9,3,1.1,7,0.4,16,0.2,0,0,0,1.1,1,0.6,10,0.2,0,0.6,15,1.2,16,0,0,2.8,11,0.4,13,1.1,16,3.3,15
2018年9月25日4時,1.5,16,0.5,6,1.4,12,0.8,4,0.7,7,0.7,11,0.3,1,0.7,12,1.9,7,1.3,8,0.5,7,0.1,0,0.7,1,0.8,12,0.2,0,0.6,14,2.3,15,0.9,5,2.2,10,1.1,10,0.8,14,2.5,16
